feature,coefficient,absolute_coefficient,direction
categorical__country_NZL,-1.289014124776012,1.289014124776012,lower cancellation score
missing__missingindicator_children,1.2875949044694734,1.2875949044694734,higher cancellation score
missing__missingindicator_total_guests,1.2875949044694734,1.2875949044694734,higher cancellation score
categorical__distribution_channel_Undefined,1.2875069510325803,1.2875069510325803,higher cancellation score
categorical__agent_364,-1.2872893098304588,1.2872893098304588,lower cancellation score
categorical__agent_83,-1.2773001009586342,1.2773001009586342,lower cancellation score
categorical__agent_215,-1.2693703907362757,1.2693703907362757,lower cancellation score
categorical__agent_196,-1.257380407381218,1.257380407381218,lower cancellation score
categorical__agent_37,-1.2537652587269976,1.2537652587269976,lower cancellation score
categorical__deposit_type_No Deposit,-1.2504300415216225,1.2504300415216225,lower cancellation score
categorical__agent_91,-1.2471421397923903,1.2471421397923903,lower cancellation score
categorical__agent_138,-1.2435707632694812,1.2435707632694812,lower cancellation score
